날짜,코드,물류 기기,수량
20230422,1,A,84
20230424,1,A,303
20230425,1,A,360
20230426,1,A,309
20230427,1,A,342
20230428,1,A,168
20230429,1,A,33
20230501,1,A,90
20230502,1,A,234
20230503,1,A,403
20230504,1,A,354
20230505,1,A,84
20230506,1,A,34
20230508,1,A,294
20230509,1,A,235
20230510,1,A,414
20230511,1,A,379
20230512,1,A,331
20230513,1,A,100
20230515,1,A,271
20230516,1,A,252
20230517,1,A,276
20230518,1,A,394
20230519,1,A,406
20230520,1,A,43
20230522,1,A,262
20230523,1,A,244
20230524,1,A,252
20230525,1,A,406
20230526,1,A,220
20230527,1,A,4
20230530,1,A,540
20230531,1,A,157
20230601,1,A,207
20230602,1,A,402
20230603,1,A,18
20230605,1,A,399
20230606,1,A,72
20230607,1,A,309
20230608,1,A,438
20230609,1,A,184
20230610,1,A,33
20230612,1,A,433
20230613,1,A,267
20230614,1,A,184
20230615,1,A,280
20230616,1,A,210
20230617,1,A,48
20230619,1,A,243
20230620,1,A,324
20230621,1,A,279
20230622,1,A,261
20230623,1,A,138
20230626,1,A,256
20230627,1,A,280
20230628,1,A,232
20230629,1,A,325
20230630,1,A,223
20200102,2,A,373
20200103,2,A,300
20200104,2,A,12
20200106,2,A,234
20200107,2,A,262
20200108,2,A,274
20200109,2,A,379
20200110,2,A,336
20200113,2,A,10974
20200114,2,A,328
20200115,2,A,238
20200116,2,A,270
20200117,2,A,304
20200120,2,A,5611
20200121,2,A,286
20200122,2,A,235
20200123,2,A,177
20200128,2,A,261
20200129,2,A,402
20200130,2,A,237
20200131,2,A,304
20200203,2,A,267
20200204,2,A,15373
20200205,2,A,252
20200206,2,A,268
20200207,2,A,289
20200210,2,A,486
20200211,2,A,283
20200212,2,A,282
20200213,2,A,501
20200214,2,A,249
20200217,2,A,207
20200218,2,A,6328
20200219,2,A,210
20200220,2,A,262
20200221,2,A,322
20200224,2,A,243
20200225,2,A,196
20200226,2,A,232
20200227,2,A,219
20200228,2,A,145
20200301,2,A,13
20200302,2,A,205
20200303,2,A,157
20200304,2,A,15976
20200305,2,A,268
20200309,2,A,372
20200310,2,A,184
20200311,2,A,150
20200312,2,A,297
20200313,2,A,96
20200316,2,A,8245
20200317,2,A,298
20200318,2,A,249
20200319,2,A,265
20200320,2,A,417
20200323,2,A,292
20200324,2,A,220
20200325,2,A,348
20200326,2,A,265
20200327,2,A,349
20200330,2,A,16276
20200331,2,A,219
20200401,2,A,328
20200402,2,A,405
20200403,2,A,355
20200406,2,A,9654
20200407,2,A,439
20200408,2,A,253
20200409,2,A,372
20200410,2,A,423
20200413,2,A,436
20200414,2,A,414
20200416,2,A,420
20200417,2,A,387
20200420,2,A,18585
20200421,2,A,277
20200422,2,A,366
20200423,2,A,348
20200424,2,A,453
20200427,2,A,358
20200428,2,A,325
20200429,2,A,337
20200501,2,A,6
20200506,2,A,346
20200507,2,A,15183
20200508,2,A,336
20200511,2,A,249
20200512,2,A,195
20200513,2,A,357
20200514,2,A,204
20200515,2,A,342
20200518,2,A,243
20200519,2,A,264
20200520,2,A,177
20200521,2,A,316
20200522,2,A,357
20200525,2,A,261
20200526,2,A,219
20200527,2,A,138
20200528,2,A,393
20200529,2,A,18151
20200601,2,A,303
20200602,2,A,306
20200603,2,A,225
20200604,2,A,171
20200605,2,A,333
20200608,2,A,289
20200609,2,A,298
20200610,2,A,174
20200611,2,A,255
20200612,2,A,390
20200615,2,A,7587
20200616,2,A,369
20200617,2,A,261
20200618,2,A,226
20200619,2,A,301
20200622,2,A,235
20200623,2,A,342
20200624,2,A,306
20200625,2,A,253
20200626,2,A,351
20200629,2,A,17052
20200630,2,A,445
20200701,2,A,285
20200702,2,A,265
20200703,2,A,403
20200706,2,A,451
20200707,2,A,415
20200708,2,A,354
20200709,2,A,207
20200710,2,A,309
20200713,2,A,303
20200714,2,A,17532
20200715,2,A,340
20200716,2,A,340
20200717,2,A,370
20200720,2,A,331
20200721,2,A,9258
20200722,2,A,370
20200723,2,A,361
20200724,2,A,337
20200803,2,A,336
20200804,2,A,328
20200805,2,A,357
20200806,2,A,301
20200807,2,A,315
20200810,2,A,435
20200811,2,A,408
20200812,2,A,352
20200813,2,A,288
20200814,2,A,340
20200818,2,A,34786
20200819,2,A,312
20200820,2,A,439
20200821,2,A,301
20200824,2,A,411
20200825,2,A,352
20200826,2,A,274
20200827,2,A,267
20200828,2,A,273
20200831,2,A,14653
20200901,2,A,309
20200902,2,A,232
20200903,2,A,156
20200904,2,A,295
20200907,2,A,6892
20200908,2,A,234
20200909,2,A,186
20200910,2,A,229
20200911,2,A,229
20200914,2,A,6330
20200915,2,A,205
20200916,2,A,318
20200917,2,A,366
20200918,2,A,246
20200921,2,A,343
20200922,2,A,337
20200923,2,A,270
20200924,2,A,244
20200925,2,A,339
20200928,2,A,246
20200929,2,A,313
20201005,2,A,226
20201006,2,A,319
20201007,2,A,309
20201008,2,A,385
20201012,2,A,25977
20201013,2,A,318
20201014,2,A,262
20201015,2,A,337
20201016,2,A,229
20201019,2,A,300
20201020,2,A,258
20201021,2,A,8643
20201022,2,A,265
20201023,2,A,225
20201026,2,A,246
20201027,2,A,358
20201028,2,A,246
20201029,2,A,309
20201030,2,A,400
20201102,2,A,15475
20201103,2,A,240
20201104,2,A,205
20201105,2,A,264
20201106,2,A,262
20201109,2,A,7060
20201110,2,A,202
20201111,2,A,267
20201112,2,A,333
20201113,2,A,307
20201116,2,A,6723
20201117,2,A,327
20201118,2,A,345
20201119,2,A,223
20201120,2,A,288
20201123,2,A,7066
20201124,2,A,475
20201125,2,A,294
20201126,2,A,246
20201127,2,A,306
20201130,2,A,7464
20201201,2,A,247
20201202,2,A,274
20201203,2,A,261
20201204,2,A,222
20201207,2,A,6372
20201208,2,A,247
20201209,2,A,225
20201210,2,A,232
20201211,2,A,343
20201214,2,A,7036
20201215,2,A,268
20201216,2,A,325
20201217,2,A,394
20201218,2,A,391
20201221,2,A,8427
20201222,2,A,319
20201223,2,A,340
20201224,2,A,552
20201228,2,A,8422
20201229,2,A,333
20201230,2,A,195
20201231,2,A,427
20210104,2,A,7965
20210105,2,A,304
20210106,2,A,220
20210107,2,A,357
20210108,2,A,288
20210111,2,A,8838
20210112,2,A,337
20210113,2,A,216
20210114,2,A,309
20210115,2,A,259
20210118,2,A,234
20210119,2,A,8658
20210120,2,A,313
20210121,2,A,232
20210122,2,A,315
20210125,2,A,7819
20210126,2,A,240
20210127,2,A,234
20210128,2,A,289
20210129,2,A,402
20210201,2,A,23284
20210202,2,A,322
20210203,2,A,247
20210204,2,A,292
20210205,2,A,313
20210208,2,A,289
20210209,2,A,9399
20210210,2,A,208
20210215,2,A,3847
20210216,2,A,190
20210217,2,A,265
20210218,2,A,247
20210219,2,A,397
20210222,2,A,223
20210223,2,A,288
20210224,2,A,280
20210225,2,A,250
20210226,2,A,390
20210302,2,A,337
20210303,2,A,247
20210304,2,A,325
20210305,2,A,378
20210308,2,A,7414
20210309,2,A,267
20210310,2,A,208
20210311,2,A,385
20210312,2,A,282
20210315,2,A,159
20210316,2,A,7762
20210317,2,A,237
20210318,2,A,243
20210319,2,A,268
20210322,2,A,678
20210323,2,A,6814
20210324,2,A,216
20210325,2,A,256
20210326,2,A,261
20210329,2,A,231
20210330,2,A,8335
20210331,2,A,207
20210401,2,A,5745
20210402,2,A,223
20210405,2,A,6714
20210406,2,A,343
20210407,2,A,265
20210408,2,A,165
20210409,2,A,297
20210412,2,A,271
20210413,2,A,283
20210414,2,A,210
20210415,2,A,265
20210416,2,A,312
20210419,2,A,7426
20210420,2,A,270
20210421,2,A,409
20210422,2,A,252
20210423,2,A,264
20210426,2,A,262
20210427,2,A,523
20210428,2,A,6481
20210429,2,A,348
20210430,2,A,223
20210501,2,A,21
20210503,2,A,6390
20210504,2,A,190
20210506,2,A,571
20210507,2,A,328
20210510,2,A,6244
20210511,2,A,183
20210512,2,A,576
20210513,2,A,234
20210514,2,A,274
20210517,2,A,7758
20210518,2,A,517
20210520,2,A,213
20210521,2,A,253
